,Page_Number,Search_Result_Title,Search_Result_URL,Search_Result_Description
0,1,JavaScript Tutorial - W3Schools,https://www.w3schools.com/js/,JavaScript is the world's most popular programming language. JavaScript is the programming language of the Web. JavaScript is easy to learn.
1,1,JavaScript.com,https://www.javascript.com/,JavaScript.com is a resource for the JavaScript community. You will find resources and examples for JavaScript beginners as well as support for JavaScript ...
2,1,JavaScript - MDN Web Docs - Mozilla,https://developer.mozilla.org/en-US/docs/Web/JavaScript,"13-Sept-2022 — JavaScript (JS) is a lightweight, interpreted, or just-in-time compiled programming language with first-class functions."
3,1,JavaScript - Wikipedia,https://en.wikipedia.org/wiki/JavaScript,"JavaScript often abbreviated as JS, is a programming language that is one of the core technologies of the World Wide Web, alongside HTML and CSS."
4,1,The Modern JavaScript Tutorial,https://javascript.info/,"Modern JavaScript Tutorial: simple, but detailed explanations with examples and tasks, including: closures, document and events, object oriented programming ..."
5,1,Javascript Tutorial - Tutorialspoint,https://www.tutorialspoint.com/javascript/index.htm,"JavaScript is a lightweight, interpreted programming language. It is designed for creating network-centric applications. It is complimentary to and ..."
6,1,Learn JavaScript Tutorial - Javatpoint,https://www.javatpoint.com/javascript-tutorial,"JavaScript (js) is a light-weight object-oriented programming language which is used by several websites for scripting the webpages. It is an interpreted, full- ..."
7,1,JavaScript Courses & Tutorials - Codecademy,https://www.codecademy.com/catalog/language/javascript,The JavaScript programming language is fun and flexible. It's one of the core technologies of web development and can be used on both the front-end and the ...
8,2,JavaScript Tutorial - W3Schools,https://www.w3schools.com/js/,JavaScript is the world's most popular programming language. JavaScript is the programming language of the Web. JavaScript is easy to learn.
9,2,JavaScript.com,https://www.javascript.com/,JavaScript.com is a resource for the JavaScript community. You will find resources and examples for JavaScript beginners as well as support for JavaScript ...
10,2,JavaScript - MDN Web Docs - Mozilla,https://developer.mozilla.org/en-US/docs/Web/JavaScript,"13-Sept-2022 — JavaScript (JS) is a lightweight, interpreted, or just-in-time compiled programming language with first-class functions."
11,2,JavaScript - Wikipedia,https://en.wikipedia.org/wiki/JavaScript,"JavaScript often abbreviated as JS, is a programming language that is one of the core technologies of the World Wide Web, alongside HTML and CSS."
12,2,The Modern JavaScript Tutorial,https://javascript.info/,"Modern JavaScript Tutorial: simple, but detailed explanations with examples and tasks, including: closures, document and events, object oriented programming ..."
13,2,Javascript Tutorial - Tutorialspoint,https://www.tutorialspoint.com/javascript/index.htm,"JavaScript is a lightweight, interpreted programming language. It is designed for creating network-centric applications. It is complimentary to and ..."
14,2,Learn JavaScript Tutorial - Javatpoint,https://www.javatpoint.com/javascript-tutorial,"JavaScript (js) is a light-weight object-oriented programming language which is used by several websites for scripting the webpages. It is an interpreted, full- ..."
