,Page_Number,Search_Result_Title,Search_Result_URL,Search_Result_Description
0,1,Welcome to Python.org,https://www.python.org/,The official home of the Python Programming Language.
1,1,Python Tutorial - W3Schools,https://www.w3schools.com/python/,Python is a popular programming language. Python can be used on a server to create web applications. Start learning Python now » ...
2,1,Python (programming language) - Wikipedia,https://en.wikipedia.org/wiki/Python_(programming_language),"Python is a high-level, general-purpose programming language. Its design philosophy emphasizes code readability with the use of significant indentation."
3,1,Online Python Compiler (Interpreter) - Programiz,https://www.programiz.com/python-programming/online-compiler/,"Write and run Python code using our online compiler (interpreter). You can use Python Shell like IDLE, and take inputs from the user in our Python compiler."
4,1,Python Tutorial - Tutorialspoint,https://www.tutorialspoint.com/python/index.htm,"Python is a very popular general-purpose interpreted, interactive, object-oriented, and high-level programming language. Python is dynamically-typed and garbage ..."
5,1,Learn Python - Free Interactive Python Tutorial,https://www.learnpython.org/,"learnpython.org is a free interactive Python tutorial for people who want to learn Python, fast."
6,2,Welcome to Python.org,https://www.python.org/,The official home of the Python Programming Language.
7,2,Python Tutorial - W3Schools,https://www.w3schools.com/python/,Python is a popular programming language. Python can be used on a server to create web applications. Start learning Python now » ...
8,2,Python (programming language) - Wikipedia,https://en.wikipedia.org/wiki/Python_(programming_language),"Python is a high-level, general-purpose programming language. Its design philosophy emphasizes code readability with the use of significant indentation."
9,2,Online Python Compiler (Interpreter) - Programiz,https://www.programiz.com/python-programming/online-compiler/,"Write and run Python code using our online compiler (interpreter). You can use Python Shell like IDLE, and take inputs from the user in our Python compiler."
10,2,Python Tutorial - Tutorialspoint,https://www.tutorialspoint.com/python/index.htm,"Python is a very popular general-purpose interpreted, interactive, object-oriented, and high-level programming language. Python is dynamically-typed and garbage ..."
11,2,Learn Python - Free Interactive Python Tutorial,https://www.learnpython.org/,"learnpython.org is a free interactive Python tutorial for people who want to learn Python, fast."
12,3,Welcome to Python.org,https://www.python.org/,The official home of the Python Programming Language.
13,3,Python Tutorial - W3Schools,https://www.w3schools.com/python/,Python is a popular programming language. Python can be used on a server to create web applications. Start learning Python now » ...
14,3,Python (programming language) - Wikipedia,https://en.wikipedia.org/wiki/Python_(programming_language),"Python is a high-level, general-purpose programming language. Its design philosophy emphasizes code readability with the use of significant indentation."
15,3,Online Python Compiler (Interpreter) - Programiz,https://www.programiz.com/python-programming/online-compiler/,"Write and run Python code using our online compiler (interpreter). You can use Python Shell like IDLE, and take inputs from the user in our Python compiler."
16,3,Python Tutorial - Tutorialspoint,https://www.tutorialspoint.com/python/index.htm,"Python is a very popular general-purpose interpreted, interactive, object-oriented, and high-level programming language. Python is dynamically-typed and garbage ..."
17,3,Learn Python - Free Interactive Python Tutorial,https://www.learnpython.org/,"learnpython.org is a free interactive Python tutorial for people who want to learn Python, fast."
18,4,Welcome to Python.org,https://www.python.org/,The official home of the Python Programming Language.
19,4,Python Tutorial - W3Schools,https://www.w3schools.com/python/,Python is a popular programming language. Python can be used on a server to create web applications. Start learning Python now » ...
